Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66045a075bfc3b16685805c3,62d6d903bfa2edd3d7f58d82,APPROVED,Not Applicable,2024-03-27T17:40:28.252000Z,2024-03-27T17:46:36.596000Z,2024-03-28T16:05:44.429000Z,2024-03-27T17:48:52.124997Z,369,C1NU7187,2378,English,50,Female,White,United States,United States,United States,English,No,Full-Time
66045a0a82a8cff78c664607,65aee5359cebb2ff24f0873d,APPROVED,Not Applicable,2024-03-27T17:40:39.409000Z,2024-03-27T17:47:04.911000Z,2024-03-28T16:05:44.818000Z,2024-03-27T17:48:55.237572Z,386,C1NU7187,11,English,47,Female,White,United States,United States,United States,English,No,Full-Time
66045a0ac2c5bc283088e1b1,60a2b9a6ad671cebb06f2b0d,APPROVED,Not Applicable,2024-03-27T17:40:35.864000Z,2024-03-27T17:51:58.131000Z,2024-03-28T16:03:24.884000Z,2024-03-27T17:52:00.610795Z,683,C1NU7187,5577,English,94,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045a0cdd83425e2c53f6d4,589ce4d65e63bf00013b3175,APPROVED,Not Applicable,2024-03-27T17:40:33.495000Z,2024-03-27T17:46:16.341000Z,2024-03-28T17:16:47.768000Z,2024-03-27T17:48:50.203043Z,343,C1NU7187,3772,English,29,Female,White,United States,United States,United States,English,No,Part-Time
66045a0fa56828a62f6650db,652d491cb5dd1a3f7a4fce0f,APPROVED,Not Applicable,2024-03-27T17:40:39.695000Z,2024-03-27T17:49:07.622000Z,2024-03-28T17:07:46.888000Z,2024-03-27T17:49:11.489272Z,508,C1NU7187,532,English,42,Female,White,United States,United States,United States,English,No,Part-Time
66045a10c62efe106302b3a1,589de7bbbb9e0f0001ac9768,APPROVED,Not Applicable,2024-03-27T17:40:44.071000Z,2024-03-27T17:52:29.668000Z,2024-03-28T17:16:48.270000Z,2024-03-27T18:53:24.882165Z,706,C1NU7187,1146,English,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
66045a18db9030c63ddfa9d3,5a68c8ec63394a000155cbb9,APPROVED,Not Applicable,2024-03-27T17:40:54.775000Z,2024-03-27T17:47:58.628000Z,2024-03-28T16:05:45.215000Z,2024-03-27T17:49:00.037871Z,424,C1NU7187,1301,English,48,Female,White,United States,United States,United States,English,No,Full-Time
66045a1fbe915ffba0e2d045,56df83846b4093000cd8eee0,APPROVED,Not Applicable,2024-03-27T17:40:54.181000Z,2024-03-27T17:48:56.106000Z,2024-03-28T16:05:57.355000Z,2024-03-27T17:49:05.672005Z,482,C1NU7187,417,English,31,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66045a252c0f1242f1af9c32,5f171e9023611c038f0bd539,APPROVED,Not Applicable,2024-03-27T17:41:01.706000Z,2024-03-27T17:46:52.908000Z,2024-03-28T16:04:35.214000Z,2024-03-27T17:48:54.280671Z,352,C1NU7187,2969,English,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045a4045668ebc0cd56af3,63002058c64c2668f3a7b0a3,APPROVED,Not Applicable,2024-03-27T17:41:30.180000Z,2024-03-27T17:52:30.520000Z,2024-03-28T16:04:35.657000Z,2024-03-27T18:53:24.936792Z,661,C1NU7187,45,English,34,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66045a4adc9634ddcf58cdf5,6054e1ddb68b58dd23242765,APPROVED,Not Applicable,2024-03-27T17:41:41.023000Z,2024-03-27T17:46:26.475000Z,2024-03-28T17:13:50.574000Z,2024-03-27T17:48:50.643420Z,286,C1NU7187,4087,English,36,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045a4f44b55fea539befa4,59f77d39b47dfc0001b660ea,APPROVED,Not Applicable,2024-03-27T17:41:47.715000Z,2024-03-27T17:50:45.294000Z,2024-03-28T16:04:36.023000Z,2024-03-27T17:50:46.816530Z,538,C1NU7187,2815,English,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
66045a6066ce6c30d38a41e4,6134d9cf96a9c6192e24866d,APPROVED,Not Applicable,2024-03-27T17:41:57.828000Z,2024-03-27T17:53:46.139000Z,2024-03-28T18:09:49.240000Z,2024-03-27T17:53:48.487037Z,709,C1NU7187,1844,English,63,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045a6fe585cc540f6d3e31,63e51b881c0000d37060d8f7,APPROVED,Not Applicable,2024-03-27T17:43:13.016000Z,2024-03-27T18:23:26.957000Z,2024-03-28T16:04:36.423000Z,2024-03-27T18:23:34.286359Z,2414,C1NU7187,861,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045a72560749920e9254f2,63e53d570132a56f38a678ee,APPROVED,Not Applicable,2024-03-27T17:42:14.651000Z,2024-03-27T17:46:18.094000Z,2024-03-28T17:15:35.333000Z,2024-03-27T17:48:50.119533Z,244,C1NU7187,2755,English,46,Male,White,United States,United States,United States,English,No,Full-Time
66045a7744b55fea539befb0,5e3bb7770e53243ce0376fe1,APPROVED,Not Applicable,2024-03-27T17:42:25.784000Z,2024-03-27T17:50:21.363000Z,2024-03-28T16:05:19.388000Z,2024-03-27T17:50:22.796082Z,476,C1NU7187,2542,English,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045a7bd3839fe58f9da94c,6600e6fb008f248f85d18742,APPROVED,Not Applicable,2024-03-27T17:42:26.031000Z,2024-03-27T17:46:03.923000Z,2024-03-28T16:05:19.935000Z,2024-03-27T17:48:42.016240Z,218,C1NU7187,19,English,35,Male,White,United States,United States,United States,English,No,Full-Time
66045a8541306a86a035f359,606af90419f562e6af043de2,APPROVED,Not Applicable,2024-03-27T17:42:39.661000Z,2024-03-27T17:49:00.357000Z,2024-03-28T17:15:08.218000Z,2024-03-27T17:49:06.487012Z,381,C1NU7187,279,"English, Spanish",39,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
66045a895426924880c798c8,5fdfb8bfe708b105a25f569d,APPROVED,Not Applicable,2024-03-27T17:42:39.647000Z,2024-03-27T17:47:04.818000Z,2024-03-28T17:07:47.301000Z,2024-03-27T17:48:55.294048Z,266,C1NU7187,1475,English,36,Female,White,United States,United States,United States,English,No,Full-Time
